#: table_doi: 10.17182/hepdata.95751.v1/t21
#: name: Fig 16a WZ Exclusion: Wino-bino(+), Obs
#: description:  Exclusion limits obtained for the $W\!Z$-mediated models in the (a,b) wino/bino (+) scenario, (c) the wino/bino (-) scenario, and (d) the higgsino scenario. The expected 95 CL sensitivity (dashed black line) is shown with &plusmn;1&sigma;<sub>exp</sub> (yellow band) from experimental systematic uncertainties and statistical uncertainties on the data yields, the observed limit (red solid line) is shown with &plusmn;1&sigma;<sub>theory</sub> (dotted red lines) from signal cross-section uncertainties. The statistical combination of the onshell $W\!Z$, offshell $W\!Z$, and compressed results is shown as the main contour, while the observed (expected) limits for each individual selection are overlaid in green, blue, and orange solid (dashed) lines, respectively. The exclusion is shown projected (a) onto the m(&chi;&#771;<sub>1</sub><sup>&plusmn;</sup>, &chi;&#771;<sub>2</sub><sup>0</sup>) vs m(&chi;&#771;<sub>1</sub><sup>0</sup>) plane or (b,c,d) onto the m(&chi;&#771;<sub>2</sub><sup>0</sup>) vs &Delta;m plane. The light grey area denotes (top) the constraints obtained by the previous equivalent analysis in ATLAS using the 8 TeV 20.3 fb<sup>-1</sup> dataset [17], and (d) the LEP lower &chi;&#771;<sub>1</sub><sup>&plusmn;</sup> mass limit [56]. The pale blue line in the top right panel represents the mass splitting range that yields a dark matter relic density equal to the observed relic density, &Omega; h<sup>2</sup>=0.1186&plusmn;0.0020 [172], when the mass parameters of all the decoupled SUSY partners are set to 5 TeV and tan&beta; is chosen such that the SM-like Higgs boson mass is consistent with the observed value [43]. The area above (below) the blue line represents a dark-matter relic density larger (smaller) than the observed.
#: data_file: fig_16a_wz_exclusion__wino-binoplus__obs.yaml
#: keyword cmenergies: 13000
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO2 X | P P --> CHARGINO- NEUTRALINO2 X
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering | Electroweak
#: keyword observables: CLS
"$m(\tilde{\chi}_{1}^{\pm},\tilde{\chi}_{2}^{0})$ [GeV]",$m(\tilde{\chi}_{1}^{0})$ [GeV]
'A','B'
116.12,114.12
117.54,115.44
119.3,117.08
121.05,118.73
122.81,120.4
124.56,122.07
126.32,123.76
128.07,125.45
129.82,127.14
131.58,128.83
133.33,130.53
135.09,132.23
136.84,133.92
138.6,135.62
140.35,137.32
142.1,139.03
143.86,140.76
145.61,142.48
147.37,144.22
149.12,145.96
150.88,147.7
152.63,149.42
154.39,151.13
156.14,152.81
157.9,154.48
158.14,154.72
158.99,155.54
159.85,156.37
160.7,157.2
161.55,158.02
162.41,158.85
163.26,159.67
164.11,160.5
164.97,161.32
165.82,162.15
166.67,162.97
167.53,163.8
168.38,164.62
169.24,165.45
170.09,166.28
170.94,167.1
171.79,167.92
172.65,168.75
173.5,169.58
174.35,170.4
175.21,171.23
176.06,172.05
176.92,172.88
177.77,173.7
178.62,174.53
180.3,176.17
181.99,177.81
183.67,179.46
185.35,181.1
187.03,182.74
188.71,184.38
190.39,186.03
192.1,187.7
193.86,189.42
195.61,191.13
197.37,192.84
199.12,194.55
200.88,196.25
202.63,197.96
204.39,199.67
206.14,201.37
207.9,203.08
209.65,204.77
211.4,206.47
213.16,208.16
214.91,209.85
216.65,211.52
218.33,213.13
220.01,214.73
221.69,216.32
223.38,217.9
225.06,219.46
226.74,221.0
228.39,222.51
229.92,223.89
231.31,225.07
232.62,226.17
233.79,227.11
234.82,227.89
235.69,228.51
236.42,228.97
237.03,229.3
237.54,229.52
237.91,229.59
238.13,229.49
238.2,229.24
238.13,228.83
237.91,228.28
237.54,227.59
237.03,226.75
236.39,225.79
235.66,224.74
234.78,223.56
233.76,222.25
232.59,220.8
231.29,219.22
229.9,217.57
228.4,215.76
226.89,213.95
225.5,212.28
224.19,210.67
223.0,209.16
221.9,207.76
220.95,206.5
220.15,205.39
219.47,204.39
218.85,203.44
218.34,202.61
217.97,201.93
217.75,201.39
217.68,200.99
217.75,200.73
217.97,200.61
218.29,200.58
218.73,200.66
219.31,200.88
220.04,201.24
220.92,201.75
221.94,202.39
223.1,203.18
224.34,204.05
225.73,205.1
227.23,206.29
228.77,207.53
